"movieNm","movieCd"
"""울지마, 톤즈""","20100962"
"카페 느와르","20100046"
"연산군","20110014"
"브라보! 재즈 라이프","20101339"
"용서","20101211"
"시","20100191"
"하하하","20100202"
"서서 자는 나무","20101338"
"우리 학교","20070054"
"나는 나비","20101208"
"라스트 갓파더","20101209"
"헬로우 고스트","20101223"
"황해","20101222"
"쩨쩨한 로맨스","20101221"
"김종욱 찾기","20101200"
"심장이 뛴다","20101399"
"나의 불행에는 이유가 있다","20101111"
"아메리칸","20101071"
"쓰리 데이즈","20101378"
"""러블리, 스틸""","20090739"
"크리스마스 스타!","20101377"
"톨스토이의 마지막 인생","20101227"
"클라라","20101275"
"토일렛","20101101"
"존 레논 비긴즈-노웨어 보이","20101274"
"애수","20101409"
"엘 시크레토 : 비밀의 눈동자","20101073"
"해리 포터와 죽음의 성물1","20101224"
"트론: 새로운 시작","20101225"
"새미의 어드벤쳐","20101348"
"극장판 포켓 몬스터 DP 「환영의 패왕 조로아크」","20101226"
"나니아 연대기: 새벽 출정호의 항해","20101213"
"투어리스트","20101212"
"라인의 황금","20101400"
"플래닛 51","20090946"
"살아있는 야생탐험","20090255"
"유도용호방","20102422"
"춤추는 동물원","20090783"
"레인보우","20101110"
"하쿠나 마타타 - 지라니 이야기","20101375"
"하나 그리고 둘","20000059"
"잃어버린 마법의 섬 홋타라케","20110015"
"스카이 크롤러","20101067"
"내 친구의 소원","20101380"
"무기여 잘 있거라","20110024"
"에브리바디 올라잇","20100809"
"엑시던트 ","20102420"
"옥희의 영화","20100787"
"글러브","20102416"
"2011년 1월 단편 상상극장 - 더 비기닝","20101434"
"꿀벌 하치의 대모험","20110030"
"자브리스키 포인트","20101413"
"마이 페어 레이디","20101412"
"조금만 더 가까이","20101028"
"동자 대소동","20100825"
"원스 어폰 어 타임 인 아메리카","20080975"
"메가마인드","20102421"
"극장판 메탈 베이블레이드 VS 태양 작열의 침략자 솔블레이즈","20102413"
"마부","20100513"
"뭘 또 그렇게까지","20100055"
"사랑하고 싶은 시간","20101205"
"리피피","20080984"
"김복남 살인사건의 전말","20100281"
"경계도시 2","20090610"
"[인디포럼 월례비행] 레인보우","20100830"
"하이 눈","20119126"
"시리어스 맨","20100124"
"레오파드","20101411"
"내 이름은 튜니티","19790105"
"땅의 여자","20100061"
"지붕 위의 바이올린","20101414"
"OK 목장의 결투","20110025"
"시즌 오브 더 위치: 마녀 호송단","20110029"
"노다메 칸타빌레 최종악장","20101379"
"아프리카 마법여행","20119155"
"러브 & 드럭스","20110031"
"민며느리","19650018"
"쿠바의 연인","20102412"
"인비져블 2: 귀신소리찾기","20100652"
"앙드레 마티유","20101277"
"세인트 클라우드","20110023"
"맨발의 청춘","19640025"
"우리 만난 적 있나요","20100661"
"반드시 크게 들을 것","20090785"
"조선명탐정 : 각시투구꽃의 비밀","20102414"
"심야의 F.M.","20100302"
"죽이러 갑니다","20100369"
"황산벌","20030154"
"왕의 남자","20050333"
"하녀","19600018"
"평양성","20102415"
"인디애니페스트 2010_한국","20100987"
"환상의 그대","20119244"
"그린 호넷","20102418"
"기러기 아빠","20110018"
"용호대련","20100692"
"아이 엠 러브","20110027"
"윈터스 본","20119129"
"피나 바우쉬의 댄싱 드림즈","20119207"
"타운","20102419"
"제11회 한국예술종합학교 영상원 애니메이션과 졸업상영회","20119309"
"태양은 가득히","19600045"
"라푼젤","20101395"
"닥터 지바고","19650001"
"상하이","20119277"
"127시간","20119358"
"아이들...","20119341"
"그대를 사랑합니다","20119337"
"소명 2-모겐족의 월드컵","20100158"
"소명","20090188"
"우묵배미의 사랑","19900023"
"걸리버 여행기","20102417"
"가필드 펫 포스 3D","20119137"
"붉은 살의","19648075"
"성춘향","19610051"
"2010 빅뱅라이브콘서트 BIGSHOW 3D","20119397"
"하비의 마지막 로맨스","20101047"
"우디 앨런의 애니씽 엘스","20050020"
"생텀","20119418"
"와이키키 브라더스","20010037"
"""혜화, 동""","20101232"
"로마의 휴일","20110026"
"24 시티","20090037"
"""2011년 2월 단편 상상극장 - <혜화,동> 민용근 감독 단편 모음""","20119317"
"피파 리의 특별한 로맨스","20119417"
"스몰 타임 크룩스","20020013"
"베리드","20101138"
"효녀 심청","19720009"
"파수꾼","20101344"
"네버 렛 미 고","20119295"
"왕과 나","19991189"
"지옥의 묵시록 : 리덕스","20010061"
"고백","20119245"
"내가 마지막 본 파리","20119443"
"아따맘마 - 극장판","20119585"
"바빌론의 아들","20119307"
"메카닉","20119427"
"최후의 툰드라-극장판","20119501"
"만추","19820019"
"이조 여인잔혹사","20110020"
"리오 브라보","19598012"
"친구와 연인사이","20119508"
"알파 앤 오메가","20119556"
"김약국의 딸들","20119480"
"이고르와 귀여운 몬스터 이바","20119473"
"리멤버 미","20100826"
"왠 유어 스트레인지","20101396"
"""사랑한다, 사랑하지 않는다""","20119507"
"혈투","20101003"
"금지된 장난","19920296"
"칼라스 포에버","20070695"
"""굿바이, 평양""","20090654"
"서유기 리턴즈","20119486"
"불꽃","19750028"
"루르드","20119517"
"소울 키친","20119599"
"파리 36의 기적","20101122"
"언노운","20119429"
"미치광이 삐에로","19658031"
"2011년 2월 금요단편극장","20119587"
"바람과 함께 사라지다","19770088"
"대부","19770092"
"아이 엠 넘버 포","20119420"
"쾌걸 조로","20119598"
"라이방","20010029"
"몽골","20078845"
"극장판 유희왕 : 시공을 초월한 우정","20119600"
"마루 밑 아리에티","20100810"
"만다라","19810030"
"랭고","20119630"
"숨","20100584"
"박쥐","20081003"
"타이머","20119617"
"애니멀 타운","20100043"
"사랑이 무서워","20119511"
"슈퍼쇼3 3D","20119555"
"마더","20090248"
"더 브레이브","20119589"
"촌철살인","20119588"
"사랑은 비를 타고","19528001"
"센티미엔토: 사랑의 감각","20119590"
"블랙 스완","20119577"
"내가 버린 남자","19790024"
"컨트롤러","20119430"
"정글피쉬2","20119687"
"베라크루스","20108129"
"량강도 아이들","20119659"
"스물 아홉살","20119769"
"콰이강의 다리","19810057"
"굿모닝 에브리원","20119667"
"2011년 3월 단편 상상극장","20119660"
"줄리아의 눈","20119772"
"꼭 껴안고 눈물 핑","20100052"
"내 마음의 풍금","19990077"
"월드 인베이젼","20119707"
"파이터","2009A362"
"나비효과: 레버레이션","20119767"
"비스틀리","20119802"
"겨울여자","19770055"
"지구대표 롤링스타즈","20119718"
"마이 블랙 미니드레스","20119720"
"내 이름은 칸","20119771"
"킹스 스피치","20119637"
"위험한 상견례","20119618"
"평범한 날들","20101233"
"젊은이의 양지","19518016"
"로맨틱 헤븐","20119717"
"쉘 위 키스","20090295"
"두만강","20100216"
"짐승의 끝","20101343"
"달빛 길어올리기","20116037"
"상록수","20101391"
"그 남자가 아내에게","20100774"
"레드 라이딩 후드","20119768"
"웨이 백","20119419"
"모정","2010A522"
"시간을 달리는 소녀","20119851"
"세상의 모든 계절","20119770"
"환상극장","20119753"
"심도","20101347"
"집","20101346"
"간증","20101345"
"아저씨","20100214"
"방자전","20090927"
"에덴의 동쪽","19558011"
"미트 페어런츠 3","20119806"
"아프리카의 눈물","20119719"
"러브 인 코리아","20119827"
"접시꽃 당신","19880017"
"히어애프터","20119688"
"아씨","20119793"
"무산일기","20101242"
"엄마 까투리","20119878"
"서태지밴드 라이브 투어 <더 뫼비우스>","20100266"
"고양이 춤","20119836"
"종로의 기적","20101249"
"노라 없는 5일","20101017"
"인디다큐페스티발2011-국내신작전11","20119848"
"인디다큐페스티발2011-국내신작전15","20119850"
"사랑할 때와 죽을 때","19588001"
"할매꽃","20080305"
"꿈의 공장","20119550"
"친구 - 나는 행복하다2","20119837"
"인디다큐페스티발2011-국내신작전16","20119859"
"베니싱","20119856"
"하얀 정글","20119829"
"인디다큐페스티발2011-국내신작전13","20119858"
"방독피","20100793"
"벙어리 삼룡이","20101229"
"양효주 감독을 만나다-코리언 아방가르드","20119892"
"수영장","20119807"
"이웃집 좀비","20090852"
"삼손과 데릴라","20108884"
"""빗자루, 금붕어 되다""","20081654"
"인디피크닉2011 - 단편패키지3","20119871"
"시간을 달리는 소녀","20070216"
"인디피크닉2011","20119868"
"엄마는 창녀다","20100222"
"수상한 고객들","20119974"
"초원의 빛","19618001"
"4월 단편 상상극장 - 별이 빛나는 밤에","20119947"
"속 대부","19780073"
"노미오와 줄리엣","20119972"
"나는 아빠다","20119989"
"써커 펀치","20119854"
"소명 3 : 히말라야의 슈바이처","20119990"
"우리 이웃의 범죄","20100657"
"불청객","20100658"
"육체의 약속","19750082"
"하얀 나비","20090564"
"제인 에어","20110071"
"디어 미","20110081"
"""파리, 사랑한 날들""","20119991"
"라스트 나잇","20119855"
"황당한 외계인: 폴","20119721"
"겨울로 가는 마차","19820008"
"수상한 이웃들","20101190"
"돌아오는 길","20110004"
"물 없는 바다","20119907"
"작은 아씨들","20110191"
"상실의 시대","20110003"
"마오의 라스트 댄서","20110171"
"인 더 콜드 콜드 나잇 (In the Cold Cold Night)","20101327"
"적과의 동침","20119529"
"세상에서 가장 아름다운 이별","20119627"
"마더 앤 차일드","20119296"
"바이킹","20119958"
"나쁜 교육","20040666"
"한나","20119852"
"바보야","20110162"
"친정어머니","19668013"
"아름다운 유산","20110184"
"안티크라이스트","20119308"
"클로즈드 노트","20078700"
"울트라 미라클 러브 스토리","20110151"
"잭애스 3D","20110192"
"십계","19820112"
"써니","20110193"
"티파니에서 아침을","19618009"
"분노의 질주: 언리미티드","20110185"
"더 라이트: 악마는 있다","20110172"
"마셰티","20119999"
"시선 너머","20101245"
"장한몽","19698128"
"체포왕","20119619"
"씨네 21 영화토크쇼","20110236"
"이브 생 로랑의 라무르","20110237"
"강박충동","20119959"
"어셔가의 몰락","20119963"
"사랑을 카피하다","20119927"
"2004 서태지 라이브 투어 제로","20110238"
"페스티발","20101012"
"음악으로 통한다 2011-재즈싱어공연+앙드레 마티유","20110002"
"보스턴 교살자","20119960"
"법정스님의 의자","20110262"
"오만과 편견","19408011"
"엽문 3","20110253"
"오월愛","20101237"
"소스 코드","20110221"
"소일렌트 그린","19738070"
"난폭한 토요일","20119950"
"서부의 아가씨","20110203"
"떠날 때는 말없이","19648019"
"토르: 천둥의 신","20110211"
"서유기 선리기연","20100259"
"두목은 죽었다","20119951"
"4월 금요단편극장-그들이 사는 세상","20110206"
"기적","19870108"
"고모라","20088457"
"짱구는 못말려 극장판 : 초시공! 태풍을 부르는 나의 신부","20110250"
"언더월드2 - 에볼루션","20060031"
"늑대인간의 저주","20119967"
"회초리","20110289"
"노틀담의 꼽추","19880104"
"워터 포 엘리펀트","20110235"
"리슨 투 유어 하트","20110231"
"썬더일레븐 극장판 : 최강군단 오우거의 습격","20110261"
"토마스와 친구들 - 극장판 3","20110278"
"천녀유혼","20110311"
"지옥에서 온 프랑켄슈타인과 괴물","20119966"
"로맨스 빠빠","19600017"
"출판사 애니메이션","20110202"
"허블 3D","20110089"
"릴링턴 가의 살인","20119961"
"눈물의 웨딩드레스","19730154"
"아비정전","20080314"
"미이라의 복수","20119955"
"세계를 그대 품안에","20110488"
"""5월 단편 상상극장 - 때때로, 어린이""","20110310"
"괴물들이 사는 나라","20090942"
"옥보단 3D","20110292"
"다정불심","19678057"
"악마가 너의 죽음을 알기전에","20081512"
"레드라인","20110255"
"황태자의 첫사랑","20110293"
"빌리 엘리어트","20010130"
"헝거","20088550"
"""미안해, 고마워""","20110183"
"레 미제라블","20110513"
"캐리비안의 해적: 낯선 조류","20110294"
"도약선생","20101241"
"보라","20101240"
"마마","20119628"
"삼국지: 명장 관우","20110501"
"플라워즈","20110252"
"웨이스트 랜드","20110436"
"알라마르","20110087"
"마이 원 앤 온리","20098234"
"인사이드잡","20110314"
"앙젤리카의 이상한 사례","20110285"
"이 생명 다하도록","19608020"
"신봉리 우리집; 흔한 이야기 + 잔인한 계절","20110343"
"인디피크닉2011 - 단편패키지2","20119870"
"지구의 아이들 단편 모음 3","20110388"
"사브리나 ","19960085"
"헤드","20119527"
"한국 환경영화의 흐름 단편 모음 1","20110354"
"굿바이 보이","20110494"
"얼굴이 아니고 마음입니다","19830089"
"코파카바나","20101279"
"쿵푸팬더 2","20110511"
"콜렉터","20110487"
"2011부산국제단편영화제-섹션6","20110514"
"인디피크닉2011 - 단편패키지1","20119869"
"파산의 기술","20072065"
"마음의 행로","19428007"
"일루셔니스트","20101281"
"2011부산국제단편영화제-세르쥬 아베디키안 감독 특별전","20110524"
"용산","20100900"
"당신과 나의 전쟁","20100344"
"마마 고고","20110737"
"엑스맨: 퍼스트 클래스","20110561"
"미국의 바람과 불","20110340"
"사랑할 수 없는 시간","20119888"
"토마스와 친구들 - 극장판 2","20100332"
"애정만세","20110734"
"80일간의 세계 일주","20040642"
"레지던트","20110502"
"플레이","20110601"
"호수길","20119437"
"모비딕","20110313"
"바흐 이전의 침묵","20101027"
"타운십 스토리","20119896"
