"movieNm","movieCd","Sum_au","Sum_s","Sum_sh"
"""울지마, 톤즈""","20100962",183243,2671,4370
"카페 느와르","20100046",5592,310,332
"연산군","20110014",4592,29,80
"브라보! 재즈 라이프","20101339",927,94,105
"용서","20101211",9056,354,418
"시","20100191",330,12,12
"하하하","20100202",482,32,34
"서서 자는 나무","20101338",62,14,14
"우리 학교","20070054",187,4,4
"나는 나비","20101208",178,20,20
"라스트 갓파더","20101209",1998023,10024,38166
"헬로우 고스트","20101223",1663478,9908,34700
"황해","20101222",763270,7129,18807
"쩨쩨한 로맨스","20101221",57888,852,1681
"김종욱 찾기","20101200",40423,560,1001
"심장이 뛴다","20101399",1006947,7713,26778
"나의 불행에는 이유가 있다","20101111",12,6,6
"아메리칸","20101071",50293,1456,2624
"쓰리 데이즈","20101378",54020,1039,2096
"""러블리, 스틸""","20090739",7958,153,206
"크리스마스 스타!","20101377",1406,39,47
"톨스토이의 마지막 인생","20101227",7926,104,309
"클라라","20101275",7285,267,369
"토일렛","20101101",5729,179,248
"존 레논 비긴즈-노웨어 보이","20101274",2053,119,152
"애수","20101409",11832,33,121
"엘 시크레토 : 비밀의 눈동자","20101073",1301,35,36
"해리 포터와 죽음의 성물1","20101224",455440,4545,12239
"트론: 새로운 시작","20101225",305363,3670,9919
"새미의 어드벤쳐","20101348",331602,3777,7701
"극장판 포켓 몬스터 DP 「환영의 패왕 조로아크」","20101226",139917,2098,2561
"나니아 연대기: 새벽 출정호의 항해","20101213",31060,473,976
"투어리스트","20101212",3748,28,96
"라인의 황금","20101400",139,4,4
"플래닛 51","20090946",67,2,6
"살아있는 야생탐험","20090255",8,2,2
"유도용호방","20102422",11,2,2
"춤추는 동물원","20090783",32,6,6
"레인보우","20101110",112,20,26
"하쿠나 마타타 - 지라니 이야기","20101375",335,49,61
"하나 그리고 둘","20000059",105,1,1
"잃어버린 마법의 섬 홋타라케","20110015",318,5,16
"스카이 크롤러","20101067",17,1,1
"내 친구의 소원","20101380",7291,269,542
"무기여 잘 있거라","20110024",5690,23,59
"에브리바디 올라잇","20100809",41,1,1
"엑시던트 ","20102420",2,1,1
"옥희의 영화","20100787",894,28,28
"글러브","20102416",1887724,12533,44720
"2011년 1월 단편 상상극장 - 더 비기닝","20101434",12,2,2
"꿀벌 하치의 대모험","20110030",80560,1846,3189
"자브리스키 포인트","20101413",162,2,2
"마이 페어 레이디","20101412",52,1,1
"조금만 더 가까이","20101028",217,11,12
"동자 대소동","20100825",319,44,60
"원스 어폰 어 타임 인 아메리카","20080975",17124,391,454
"메가마인드","20102421",874580,7321,22840
"극장판 메탈 베이블레이드 VS 태양 작열의 침략자 솔블레이즈","20102413",68289,1253,2620
"마부","20100513",9468,41,140
"뭘 또 그렇게까지","20100055",22,4,4
"사랑하고 싶은 시간","20101205",65,3,3
"리피피","20080984",187,2,2
"김복남 살인사건의 전말","20100281",60,5,5
"경계도시 2","20090610",20,3,3
"[인디포럼 월례비행] 레인보우","20100830",49,2,2
"하이 눈","20119126",6026,14,60
"시리어스 맨","20100124",168,3,3
"레오파드","20101411",227,2,2
"내 이름은 튜니티","19790105",55,1,1
"땅의 여자","20100061",40,3,5
"지붕 위의 바이올린","20101414",96,2,2
"OK 목장의 결투","20110025",4981,16,57
"시즌 오브 더 위치: 마녀 호송단","20110029",434378,3069,14472
"노다메 칸타빌레 최종악장","20101379",39366,662,2223
"아프리카 마법여행","20119155",45237,1020,2376
"러브 & 드럭스","20110031",526848,4214,14229
"민며느리","19650018",2512,18,60
"쿠바의 연인","20102412",4306,304,386
"인비져블 2: 귀신소리찾기","20100652",353,41,42
"앙드레 마티유","20101277",3939,247,348
"세인트 클라우드","20110023",40717,1672,4631
"맨발의 청춘","19640025",7151,34,114
"우리 만난 적 있나요","20100661",13,5,5
"반드시 크게 들을 것","20090785",80,4,4
"조선명탐정 : 각시투구꽃의 비밀","20102414",4786069,18514,84134
"심야의 F.M.","20100302",3,2,3
"죽이러 갑니다","20100369",217,69,94
"황산벌","20030154",63,1,2
"왕의 남자","20050333",16,1,1
"하녀","19600018",4381,25,86
"평양성","20102415",1717678,9661,41851
"인디애니페스트 2010_한국","20100987",61,10,10
"환상의 그대","20119244",24756,413,818
"그린 호넷","20102418",195618,4044,11309
"기러기 아빠","20110018",5031,18,64
"용호대련","20100692",50,2,2
"아이 엠 러브","20110027",34492,699,1136
"윈터스 본","20119129",11759,439,568
"피나 바우쉬의 댄싱 드림즈","20119207",5985,209,413
"타운","20102419",98809,2334,6364
"제11회 한국예술종합학교 영상원 애니메이션과 졸업상영회","20119309",0,1,5
"태양은 가득히","19600045",8123,28,86
"라푼젤","20101395",1008381,6610,21969
"닥터 지바고","19650001",14763,36,94
"상하이","20119277",268877,3780,12994
"127시간","20119358",176399,2582,9880
"아이들...","20119341",1867750,10724,41477
"그대를 사랑합니다","20119337",1649136,16548,57954
"소명 2-모겐족의 월드컵","20100158",439,4,4
"소명","20090188",266,4,4
"우묵배미의 사랑","19900023",907,5,8
"걸리버 여행기","20102417",1760881,8570,41038
"가필드 펫 포스 3D","20119137",35182,812,1494
"붉은 살의","19648075",397,2,2
"성춘향","19610051",7558,37,124
"2010 빅뱅라이브콘서트 BIGSHOW 3D","20119397",11948,329,619
"하비의 마지막 로맨스","20101047",55,4,4
"우디 앨런의 애니씽 엘스","20050020",32,1,1
"생텀","20119418",463399,3888,16806
"와이키키 브라더스","20010037",155,3,3
"""혜화, 동""","20101232",11250,582,917
"로마의 휴일","20110026",9881,39,126
"24 시티","20090037",20,1,1
"""2011년 2월 단편 상상극장 - <혜화,동> 민용근 감독 단편 모음""","20119317",40,4,4
"피파 리의 특별한 로맨스","20119417",7101,249,625
"스몰 타임 크룩스","20020013",56,1,1
"베리드","20101138",150,2,3
"효녀 심청","19720009",2443,17,54
"파수꾼","20101344",24569,950,1551
"네버 렛 미 고","20119295",3968,162,379
"왕과 나","19991189",2104,6,21
"지옥의 묵시록 : 리덕스","20010061",234,1,1
"고백","20119245",42601,961,2373
"내가 마지막 본 파리","20119443",2984,10,34
"아따맘마 - 극장판","20119585",79786,957,1987
"바빌론의 아들","20119307",2244,114,192
"메카닉","20119427",215563,2501,10796
"최후의 툰드라-극장판","20119501",10200,470,943
"만추","19820019",847172,6396,25710
"이조 여인잔혹사","20110020",2839,17,58
"리오 브라보","19598012",6028,17,49
"친구와 연인사이","20119508",262230,2067,8887
"알파 앤 오메가","20119556",220042,2448,6005
"김약국의 딸들","20119480",2787,13,41
"이고르와 귀여운 몬스터 이바","20119473",319,45,68
"리멤버 미","20100826",24166,932,3780
"왠 유어 스트레인지","20101396",37,3,5
